# Altium Pin Report File

Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
1,,PE6,,,,,,,,,,,
2,VCC,UVCC,,,,,,,,,,,
3,D-_N,D-,,,,,,,,,,,
4,D+_N,D+,,,,,,,,,,,
5,GND,UGND,,,,,,,,,,,
6,UCAP,UCAP,,,,,,,,,,,
7,VCC,VBUS,,,,,,,,,,,
8,,PB0,,,,,,,,,,,
9,,PB1,,,,,,,,,,,
10,,PB2,,,,,,,,,,,
11,,PB3,,,,,,,,,,,
12,,PB7,,,,,,,,,,,
13,RESET,R\E\S\E\T\\,,,,,,,,,,,
14,VCC,VCC_2,,,,,,,,,,,
15,GND,GND_2,,,,,,,,,,,
16,XTAL2,XTAL2,,,,,,,,,,,
17,XTAL1,XTAL1,,,,,,,,,,,
18,SCL,PD0,,,,,,,,,,,
19,SDA,PD1,,,,,,,,,,,
20,PWM_OUT(Current Set),PD2,,,,,,,,,,,
21,PWM_OUT(Voltage Set),PD3,,,,,,,,,,,
22,7,PD5,,,,,,,,,,,
23,GND,GND_3,,,,,,,,,,,
24,VCC,AVCC_2,,,,,,,,,,,
25,ON/OFF,PD4,,,,,,,,,,,
26,,PD6,,,,,,,,,,,
27,,PD7,,,,,,,,,,,
28,CC,PB4,,,,,,,,,,,
29,CV,PB5,,,,,,,,,,,
30,OUT,PB6,,,,,,,,,,,
31,,PC6,,,,,,,,,,,
32,,PC7,,,,,,,,,,,
33,,PE2,,,,,,,,,,,
34,VCC,VCC,,,,,,,,,,,
35,GND,GND_4,,,,,,,,,,,
36,,PF7,,,,,,,,,,,
37,,PF6,,,,,,,,,,,
38,,PF5,,,,,,,,,,,
39,I_OUT_SENSE,PF4,,,,,,,,,,,
40,V_OUT_SENSE,PF1,,,,,,,,,,,
41,V_IN_SENSE,PF0,,,,,,,,,,,
42,NetC34_1,AREF,,,,,,,,,,,
43,GND,GND,,,,,,,,,,,
44,VCC,AVCC,,,,,,,,,,,
